what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1262895658897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262895658897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262895658897
java.vm.specification.version,sysinfo,,,"1.0",1262895658897
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262895658897
java.vm.version,sysinfo,,,"1.5.0_19-b02",1262895658897
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1262895663362
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1262895664963
opened,view,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1262895665178
activated,view,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1262895667292
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1262895667308
closed,view,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1262895667320
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895669446
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1262895675442
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895675462
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1262895675643
closed,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1262895675655
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1262895676757
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262895676786
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1262895676831
closed,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1262895676838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895680160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895715949
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895723040
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262895729609
